标题,URL,来源,关键词,首次收录日期,热度
职场里如何培养向上沟通、向上管理的能力？,https://zhuanlan.zhihu.com/p/571927621,网页,向上管理,2026-07-31,—
职场策略：如何与上级沟通，有效向上管理的上下级沟通技巧,https://www.michaelpage.com.cn/advice/career-advice/productivity-and-performance/1024474,网页,向上管理,2026-07-31,—
帮候选人谈下40%涨幅，猎头教你谈薪技巧,https://www.xiaohongshu.com/search_result?keyword=%E5%A4%96%E5%8C%85%E8%B0%88%E8%96%AA&sort=time_descending,小红书,外包谈薪,2026-07-31,47
SPIN提问法：用四个问题，把需求挖出来,https://www.xiaohongshu.com/search_result?keyword=%E4%B8%BB%E5%8A%A8%E6%8F%90%E9%97%AE&sort=time_descending,小红书,主动提问,2026-07-31,55
面试官问你为什么离职，HR都认可的离职原因，你学会了吗?,https://blog.csdn.net/qq_44866828/article/details/129482175,网页(CSDN),离职原因怎么说,2026-07-31,—
HR见过最好的离职原因是什么？,https://maimai.cn/article/detail?fid=1742334492&efid=KjgDJrQV4boAE1UBchH4Zg,网页(脉脉),离职原因怎么说,2026-07-31,—
如何提高自己的表达能力？,https://zhuanlan.zhihu.com/p/501545517,网页(知乎),职场表达,2026-07-31,—
职场中向下属提问的技巧有哪些,https://blog.csdn.net/qd_lifeng/article/details/143614141,网页(CSDN),主动提问,2026-07-31,—
职场沟通技巧的重要性,https://zhuanlan.zhihu.com/p/378152865,网页(知乎),主动提问,2026-07-31,—
掌握这3个向上汇报诀窍，让领导信服，让同事羡慕,https://zhuanlan.zhihu.com/p/366234695,知乎,个人工作汇报话术,2026-07-31,—
有哪些非语言因素（如肢体语言、眼神交流等）在面试中至关重要，又该如何把握,https://www.jianli.com/article/geevmv.html,简历网,面试肢体语言,2026-07-31,—
面试时，问你有什么缺点，到底该怎么回答？我总结了“3个3”,https://www.woshipm.com/zhichang/5179930.html,人人都是产品经理,面试官问缺点应该怎么回答,2026-07-31,31354浏览/36收藏
面试官问“你的缺点是什么”，怎么回答？,https://www.zhihu.com/question/583711205,知乎,面试官问缺点应该怎么回答,2026-07-31,—
逻辑混乱救星｜4个公式，练出清晰表达力,https://www.xiaohongshu.com/search_result/69ed9b900000000036001e17?xsec_token=ABsqR2zlnoGqMVA2Q2O0O5cjhn1Y_ff7Lt2YbZaMICXNA=&xsec_source=,小苏练表达,职场表达,2026-07-31,154
5个万能表述公式，告别逻辑混乱,https://www.xiaohongshu.com/search_result/6a198abb000000003700c6f8?xsec_token=ABX-9Qgb376dWhQUrxAxF4tc-JRSLqrtyJ5wTMqASSM0U=&xsec_source=,培训杰森老师,职场表达,2026-07-31,36
面试最容易被问到的7个问题以及回答模板,https://www.xiaohongshu.com/search_result/6a3f7d57000000000702e0d6?xsec_token=ABcOVXPzCS70dqRb2ZrnWFbFgQ3mzKk4fsMSmhKB44sdI=&xsec_source=,老马解局,面试什么话该说,2026-07-31,128
你面试总说假话？HR其实听3句就识破了,https://www.xiaohongshu.com/search_result/6a6c964f0000000026034392?xsec_token=ABp8CWnbmqsjLbLoJdRzqNNDdZTMJtDnQOo6k6zfeG7IU=&xsec_source=,项皮不皮,面试什么话不能说,2026-07-31,4
工作汇报的核心结构,https://www.xiaohongshu.com/search_result/68edff9c000000000703bf0c?xsec_token=ABkFXDDqjZ4BCVOAHxHL0XU8SAj0GrtMQLiHBNa8oSb4E=&xsec_source=,刚哥的运营笔记,个人工作汇报话术,2026-07-31,1.6万
这套 Prompt，让麦肯锡高管变你的职场教练,https://www.xiaohongshu.com/search_result/69c76d72000000001e00eaa7?xsec_token=ABrjsq6WiHOaVo2ybkKrUD3bexbEw71ZzFTaEkcwf1zGA=&xsec_source=,酷酷的学姐,个人工作汇报话术,2026-07-31,145
工作汇报，你一开口就秒杀95%的人！,https://www.xiaohongshu.com/search_result/6a6a1695000000001b01f670?xsec_token=ABIq_kVIXRt3mKfSphuOZr2tZl9iN7T52xROx8gnnLhyY=&xsec_source=,桃子练表达,个人工作汇报话术,2026-07-31,55
1小时工作汇报速成版，直接抄✅,https://www.xiaohongshu.com/search_result/678f20d1000000001801082d?xsec_token=ABYQhRw9nQJ6lIapSa8zk0o226OtshsE2O9r9roMFHBM8=&xsec_source=,石榴学姐聊HR,个人工作汇报话术,2026-07-31,1906
让自己表达有逻辑的五个万能表达公式,https://www.xiaohongshu.com/search_result/69c276ea000000002102c8c4?xsec_token=ABWzMQbcE_dAp5ClGqDSWu5ybMON2FDHPvm1zF1sIndwg=&xsec_source=,培训杰森老师,个人工作汇报话术,2026-07-31,165
年终述职，句句不提努力，句句高光,https://www.xiaohongshu.com/search_result/6943d57f000000000d00e739?xsec_token=ABKpuEOma-nj7naBiaRe37PBrbiuYcxWGTrd-KFk8DI_4=&xsec_source=,Truman聊商业,个人工作汇报话术,2026-07-31,2124
打工人必看！年终述职汇报通用模板💯,https://www.xiaohongshu.com/search_result/6939374f000000001e005dc3?xsec_token=ABSkvWvbP2inoq3VRz5GYK4KP3hc_Lms1xcmB_uvNcA7E=&xsec_source=,CC的打工日常,个人工作汇报话术,2026-07-31,509
工作汇报和底层逻辑,https://www.xiaohongshu.com/search_result/69a95b5500000000260327cf?xsec_token=AB-Kg-t7cq87K0gdzr2XU3wH5yaJABL2IkBj4YoVsPq_g=&xsec_source=,刚哥的运营笔记,个人工作汇报话术,2026-07-31,7700
年底述职封神！40句金句稳拿年终奖💥,https://www.xiaohongshu.com/search_result/692d941f000000001e03911f?xsec_token=ABMWZn9-thbApgrS1RMcAepTfQZNSveqVzEkkS8WTVgNU=&xsec_source=,小七的成长日记📓,个人工作汇报话术,2026-07-31,643
老板全程认真听的年中总结开场白belike:,https://www.xiaohongshu.com/search_result/6a02e6d4000000003700dd12?xsec_token=ABkXFKZTxfjr6_TrB3sY0sOMERqgsWUCDdTT2O5pLK4og=&xsec_source=,喵喵向上🐱,个人工作汇报话术,2026-07-31,66
CNBC-面试中的肢体语言技巧,https://www.xiaohongshu.com/search_result/69c5411900000000230073e9?xsec_token=AB4Run_pIWO2txOiZE-ZgAk0IyvmoB5ZdAqJ0xRKu3O50=&xsec_source=,科林职场研究所,面试肢体语言,2026-07-31,2
这些“小动作”会让面试官扣分,https://www.xiaohongshu.com/search_result/69b39977000000001a032cdf?xsec_token=AB4Xy7rYnaNaGwsKZAiVrsoH1uRouOyiQ-S3lhHS02Fq0=&xsec_source=,崔崔云,面试肢体语言,2026-07-31,51
试讲时你的小手还无处安放吗,https://www.xiaohongshu.com/search_result/69f6d239000000001a02f24d?xsec_token=ABgMnNFPMzgknbZOYh5WOf32ti5pykJdznQ7iife7xjhE=&xsec_source=,上岸体育-King 兵,面试肢体语言,2026-07-31,1263
公开演讲：如何有效运用你的肢体语言,https://www.xiaohongshu.com/search_result/692ab772000000001b033c5e?xsec_token=ABvYqiVRlL3EfZSjodw2RU87Wfz-ybKdeT87EVDFFYv0E=&xsec_source=,TEDTeacher: Ryan Hodgson,面试肢体语言,2026-07-31,624
🥇冠军的演讲手势101：万能的PUOH！,https://www.xiaohongshu.com/search_result/698037b7000000000b010ee3?xsec_token=ABkwVhSwSuEceyASCD9S0NgOm8fnNELaiXyK6vF7DZ07A=&xsec_source=,Steven学长（成长版）,面试肢体语言,2026-07-31,261
3min看完复试进场/出场礼仪（复旦第二）,https://www.xiaohongshu.com/search_result/69c294b700000000280096f0?xsec_token=ABWzMQbcE_dAp5ClGqDSWu5zKX_kXqSY9ULyekRryKBLE=&xsec_source=,然后徐（考研版）,面试肢体语言,2026-07-31,8290
讲解PPT的手势和台风。,https://www.xiaohongshu.com/search_result/68e7b686000000000700f1ad?xsec_token=ABRqKinkn_xmPI_r-2fH3vb6ipNVZrxPpcObldNEuf_Kc=&xsec_source=,主持演讲口才培训-汪伟,面试肢体语言,2026-07-31,1221
主持人教你｜上台不紧张的6个万能手势！,https://www.xiaohongshu.com/search_result/6890a2310000000023028f65?xsec_token=AB75CKnTPoKhMwOcYnCBHWbxg8hB6bskDfBkG1QXuf8rw=&xsec_source=,思博Sabrina,面试肢体语言,2026-07-31,684
几个让面试官赞不绝口的面试行为,https://www.xiaohongshu.com/search_result/6a4b0e8c000000000701288f?xsec_token=AB78zpW53s2LixtvzaoSp1Xhtq2aXWMpc7bBMVLDY-dkA=&xsec_source=,野生Kiki要搞事业（无话不聊版）,面试肢体语言,2026-07-31,21
“你的缺点是什么？”这样答既真诚又不踩雷,https://www.xiaohongshu.com/search_result/68a3170b000000001d00b4cc?xsec_token=ABc3koBDfAlSpDi24mzwguJoAZM9J9qovBQWx10mq3s9M=&xsec_source=,木绵在职场,面试官问缺点应该怎么回答,2026-07-31,67
🔥🔥🔥高情商面试话术，把缺点聊成优势,https://www.xiaohongshu.com/search_result/698d19ab000000000a0313f0?xsec_token=AB_4lHTjaU_1ZDzxkRl8RoUmJDAohiMWPsEIHsTDTK82A=&xsec_source=,斐常职场,面试官问缺点应该怎么回答,2026-07-31,15
面试被问“你最大的缺点？”回答话术直接用,https://www.xiaohongshu.com/search_result/69d3aaa90000000023026173?xsec_token=ABhAAsof3qratkcczED0IUuHiSQsTx2i0FwJbOFVlj0kg=&xsec_source=,奔跑的蒲公英,面试官问缺点应该怎么回答,2026-07-31,249
面试问你弱点，应该怎么回答？,https://www.xiaohongshu.com/search_result/6a2eea70000000000d00bc00?xsec_token=ABFjndjNLWnvMveQGsF6tzdAOGjAElhL8_ftp9tmeuMiI=&xsec_source=,职业教练艾格,面试官问缺点应该怎么回答,2026-07-31,3
面试被问缺点🆘｜如何高情商回复！,https://www.xiaohongshu.com/search_result/6a16cb740000000038020977?xsec_token=AByMxq8t6-mPiSc09PYVZrXaz2psOfWNyhzontQmNrlnQ=&xsec_source=,是福福哦,面试官问缺点应该怎么回答,2026-07-31,14
面试问缺点，别再说我太追求完美,https://www.xiaohongshu.com/search_result/6a20cf81000000003601fada?xsec_token=ABjPUg8r5GYtSYgSaXQedieNFaPd2vf9O6UsuozSpVDPQ=&xsec_source=,我不是卡神q83,面试官问缺点应该怎么回答,2026-07-31,4
你容易紧张，可能不是因为胆小…,https://www.xiaohongshu.com/search_result/6968b721000000002202c688?xsec_token=ABUIReMPbyASNhXaxup9BTOt-kgVGtCs9DJ54TG-0GEko=&xsec_source=,今解,克服面试紧张,2026-07-31,8.9万
最强大脑Dr.魏教你解决“紧张” ！,https://www.xiaohongshu.com/search_result/690bf44600000000040143df?xsec_token=ABqTSOQuPUUaCZJHyAHIGQLUpu7RfIV9YG4ApTtv5uTcA=&xsec_source=,北京大学,克服面试紧张,2026-07-31,2889
克服上台紧张的训练方式。,https://www.xiaohongshu.com/search_result/69ea213f0000000011023004?xsec_token=ABm3soLt3CsQC4unb_72bUG__m-a0nkk-tIbRXtcuY5Q4=&xsec_source=,主持演讲口才培训-汪伟,克服面试紧张,2026-07-31,3189
头部大厂高阶leader分享如何真正准备一场面试（三）,https://www.xiaohongshu.com/explore/6899e8590000000023022619,小红书,线上面试话术,2026-07-31,6699
不会开场=演讲失败！这5种方式超吸睛！,https://www.xiaohongshu.com/explore/69eb1e420000000019025c00,小红书,演讲开场白,2026-07-31,4
万能开场话术,https://www.xiaohongshu.com/explore/69d73d140000000021010aec,小红书,演讲开场白,2026-07-31,257
如何成为一个逻辑清晰的人？（附训练）,https://www.xiaohongshu.com/explore/6991b614000000000c03573b,小红书,职场口才训练方法,2026-07-31,2002
说话磕磕巴巴没观点，每天一篇新闻评述,https://www.xiaohongshu.com/explore/6a1af9a2000000000803daf0,小红书,职场口才训练方法,2026-07-31,185
恐怖的表达力是这么练成的！,https://www.xiaohongshu.com/explore/69d35b9400000000230149fa,小红书,职场口才训练方法,2026-07-31,393
秒懂职场|汇报沟通的3个底层逻辑,https://zhuanlan.zhihu.com/p/678284977,网页,职场表达,2026-07-31,—
演讲口才：十二种经典演讲开场白,https://study.163.com/course/introduction/1209820890.htm,网页,演讲开场白,2026-07-31,—
演讲的开场白（通用23篇）,https://www.diyifanwen.com/d/22622974.html,网页,演讲开场白,2026-07-31,—
演讲稿开场白技巧（精选17篇）,https://m.diyifanwen.com/yanjianggao/janjiangjiqiao/21569869.html,网页,演讲开场白,2026-07-31,—
正确的开场白：从吸引听众开始,https://blog.csdn.net/guosixu/article/details/5655894,网页,演讲开场白,2026-07-31,—
如何打造引人入胜的演讲开场？演讲开场白的技巧大揭秘,https://blog.csdn.net/AquaDream/article/details/134727339,网页,演讲开场白,2026-07-31,—
演讲开场白的12种方式,https://jingyan.baidu.com/article/a501d80c14e7a2ec620f5e78.html,网页,演讲开场白,2026-07-31,—
公务员结构化面试题型及答题思路,https://ah.huatu.com/2022/0822/2398565.html,网页,面试破题技巧,2026-07-31,—
国考省考结构化面试：情景模拟题的答题思路,https://blog.csdn.net/weixin_46838716/article/details/130501166,网页,面试破题技巧,2026-07-31,—
实用！如何应对结构化面试？锦囊送上,https://www.peopleapp.com/column/30046329642-500005691502,网页,面试破题技巧,2026-07-31,—
24教资面试|结构化问题应该怎么答模板+真题举例,https://zhuanlan.zhihu.com/p/582870431,网页,面试破题技巧,2026-07-31,—
结构化面试常见10大问题及破题思路,http://www.ahrsksw.net/gjgwy/mszl/2024/26367.html,网页,面试破题技巧,2026-07-31,—
面试自我介绍需要注意的五个案例,https://www.woshipm.com/zhichang/9518.html,网页,面试什么话该说,2026-07-31,—
自我介绍这样说，让HR和技术面试官都眼前一亮！,https://www.nowcoder.com/discuss/716020152386457600,网页,面试什么话该说,2026-07-31,—
面试时该如何做好自我介绍呢？附带介绍样板示例,https://www.cnblogs.com/Can-daydayup/p/19003624,网页,面试什么话该说,2026-07-31,—
面试时自我介绍怎么说最好？,https://www.jianliben.com/article/detail/43313,网页,面试什么话该说,2026-07-31,—
面试！自我介绍怎么说？说什么？,https://zhuanlan.zhihu.com/p/338698210,网页,面试什么话该说,2026-07-31,—
面试中如何留下给人印象深刻的自我介绍,https://www.zhiyeapp.com/jlgl/V69xIC.html,网页,面试什么话该说,2026-07-31,—
应届生线上视频面试怕翻车？这些技巧送给你,https://zhuanlan.zhihu.com/p/523644038,网页,线上面试话术,2026-07-31,—
背了它，你的职场英语就稳了💫,https://www.xiaohongshu.com/explore/69e42ef8000000001e00f22c,小红书,职场表达,2026-08-01,191
🔥思维开挂｜1张图搞定所有逻辑关系❗️❗️❗️,https://www.xiaohongshu.com/explore/688e3810000000002501a0fa,小红书,职场表达,2026-08-01,1914
🇨🇦加拿大it面试经验记录,https://www.xiaohongshu.com/explore/689ab1990000000023032133,小红书,面试技巧,2026-08-01,
面试通关万能话术，背下来，面试准过‼️,https://www.xiaohongshu.com/explore/6a0f235100000000380360e9,小红书,面试什么话该说,2026-08-01,
找工作面试不管问你啥，记住一个话术原则,https://www.xiaohongshu.com/explore/6a60bd0c000000002201b722,小红书,面试什么话该说,2026-08-01,1994
学会在面试中，把自己的“结果”讲出老,https://www.xiaohongshu.com/explore/6a6c673f0000000006007830,小红书,面试什么话该说,2026-08-01,
毕业季！面试要听懂的潜台词！,https://www.xiaohongshu.com/explore/6a4b0c74000000001702fcac,小红书,面试什么话该说,2026-08-01,
外企|北美求职 面试不要说的三句话,https://www.xiaohongshu.com/explore/6a6467c5000000000401c8d0,小红书,面试什么话不能说,2026-08-01,313
面试通关技巧，不该说的话千万别说‼️,https://www.xiaohongshu.com/explore/6a54fe7f000000000702e54a,小红书,面试什么话不能说,2026-08-01,
求职面试绝对不能说的几句话！！,https://www.xiaohongshu.com/explore/6a62a37c0000000001000abf,小红书,面试什么话不能说,2026-08-01,
当你让ai做高情商回复挑战，笑死我了,https://www.xiaohongshu.com/explore/6943f9e4000000001d03e47f,小红书,高情商职场应对话术,2026-08-01,3.1万
所有让你不舒服的话，都可以这样回,https://www.xiaohongshu.com/explore/69b553a60000000021013eaf,小红书,高情商职场应对话术,2026-08-01,123
万能吵架话术！我现在强的不行,https://www.xiaohongshu.com/explore/6a0293ff00000000380201d0,小红书,高情商职场应对话术,2026-08-01,197
给男领导提供情绪价值，20句常见话术,https://www.xiaohongshu.com/explore/6a0fd5490000000035031d28,小红书,高情商职场应对话术,2026-08-01,684
句子越短，怼人越爽,https://www.xiaohongshu.com/explore/6a15136d00000000380238dc,小红书,高情商职场应对话术,2026-08-01,2212
跟小人斗，就要先搞他心态！,https://www.xiaohongshu.com/explore/69e8a09800000000220263de,小红书,高情商职场应对话术,2026-08-01,1473
面对不尊重 这样回应最狠,https://www.xiaohongshu.com/explore/68a81fcd000000001b03d1c8,小红书,高情商职场应对话术,2026-08-01,2068
职场高情商接话技巧，你学会了几条？,https://www.xiaohongshu.com/explore/6a64fd71000000000402acb8,小红书,高情商职场应对话术,2026-08-01,1991
🌟50句幽默话语记几句，一开口逗笑所有人,https://www.xiaohongshu.com/explore/691d44b9000000001e007505,小红书,高情商职场应对话术,2026-08-01,3551
50 句高情商接话,https://www.xiaohongshu.com/explore/6a6c999f0000000008011d67,小红书,高情商职场应对话术,2026-08-01,
职场高情商接话小技巧,https://www.xiaohongshu.com/explore/6a6b5280000000002800aa68,小红书,高情商职场应对话术,2026-08-01,
和领导相处话术,https://www.xiaohongshu.com/explore/6a4460800000000006036ddd,小红书,高情商职场应对话术,2026-08-01,243
职场高情商接话的重要性,https://www.xiaohongshu.com/explore/6a1e41190000000007024146,小红书,高情商职场应对话术,2026-08-01,139
30个高情商聊天公式，告别尬聊！,https://www.xiaohongshu.com/explore/69ea051a0000000012029801,小红书,高情商职场应对话术,2026-08-01,
领导画大饼？高情商清醒应对话术不撕破脸、,https://www.xiaohongshu.com/explore/6a6c6435000000003300a046,小红书,高情商职场应对话术,2026-08-01,
职场高情商话术,https://www.xiaohongshu.com/explore/6a56baad000000000803361a,小红书,高情商职场应对话术,2026-08-01,413
教你在职场高情商接话,https://www.xiaohongshu.com/explore/6a5d0cbc000000000301ebfe,小红书,高情商职场应对话术,2026-08-01,
忍无可忍，无需再忍｜职场受气包反击话术✨,https://www.xiaohongshu.com/explore/6a6cbdf9000000002402f04b,小红书,高情商职场应对话术,2026-08-01,
总结了一些职场漂亮话（同事篇）,https://www.xiaohongshu.com/explore/69b78daa0000000023022d67,小红书,职场漂亮话,2026-08-01,2373
100条金句（含痛点+发言句式）背下来才有用,https://www.xiaohongshu.com/explore/6a0e8740000000003701cefb,小红书,职场漂亮话,2026-08-01,204
简短但很正念的句子,https://www.xiaohongshu.com/explore/68a8375b000000001d00b7c5,小红书,职场漂亮话,2026-08-01,4808
💬提供情绪价值，100句巨好用（二）,https://www.xiaohongshu.com/explore/692a98a1000000001d03d428,小红书,职场漂亮话,2026-08-01,635
提供情绪价值万能88句话！ 建议收藏,https://www.xiaohongshu.com/explore/68f9efd400000000040285da,小红书,职场漂亮话,2026-08-01,6915
原来这就是利他性话术,https://www.xiaohongshu.com/explore/69bae1e1000000001f002612,小红书,职场漂亮话,2026-08-01,2005
100句高情商万能场面话,https://www.xiaohongshu.com/explore/69b6a2db000000001a026ca1,小红书,职场漂亮话,2026-08-01,676
别再只会辛苦了！50句话术夸出好前途🌟,https://www.xiaohongshu.com/explore/6a5db4d5000000001b01d203,小红书,职场漂亮话,2026-08-01,
职场会接话的重要性（同事篇）,https://www.xiaohongshu.com/explore/6a50d23f00000000070116ec,小红书,职场漂亮话,2026-08-01,1591
夸人顺口溜,https://www.xiaohongshu.com/explore/6a046b59000000000803147f,小红书,职场漂亮话,2026-08-01,2370
面试学生会/社团必问的六个问题及回答策略,https://www.xiaohongshu.com/explore/68d68b02000000001101c7b9,小红书,部门面试自我介绍,2026-08-01,1.2万
自我介绍,https://www.xiaohongshu.com/explore/6a58ad9d000000001102c439,小红书,部门面试自我介绍,2026-08-01,
每日英语口语｜面试自我介绍版,https://www.xiaohongshu.com/explore/6a1798410000000038020d95,小红书,部门面试自我介绍,2026-08-01,
入职自我介绍｜3套万能公式，告别尴尬，搞定,https://www.xiaohongshu.com/explore/6934f644000000001b032459,小红书,部门面试自我介绍,2026-08-01,276
面试自我介绍到底应该说什么？,https://www.xiaohongshu.com/explore/6a60bcd0000000001100480f,小红书,部门面试自我介绍,2026-08-01,
大学部门面试问题大全❗️,https://www.xiaohongshu.com/explore/68e33dd1000000000302d18f,小红书,部门面试自我介绍,2026-08-01,1.7万
绝对是细糠！面试自我介绍不要背简历了！,https://www.xiaohongshu.com/explore/69d7596c0000000023025db5,小红书,部门面试自我介绍,2026-08-01,
一篇搞定英文自我介绍，面试/留学/课堂通用,https://www.xiaohongshu.com/explore/6a16461b0000000035023cad,小红书,部门面试自我介绍,2026-08-01,
10年HR真心话｜跳槽谈薪4个必杀技,https://www.xiaohongshu.com/explore/6a183d56000000003502eba4,小红书,跳槽谈薪,2026-08-01,
延长简历，找工作需要的薪资流水,https://www.xiaohongshu.com/explore/69fd74d50000000038022403,小红书,跳槽谈薪,2026-08-01,
不会谈判？谈薪15分钟损失一台保时捷！,https://www.xiaohongshu.com/explore/6a6c81ae0000000035016721,小红书,跳槽谈薪,2026-08-01,
39岁十年老猎掏心窝｜薪酬谈判怎么谈,https://www.xiaohongshu.com/explore/6a34119b0000000021018d45,小红书,跳槽谈薪,2026-08-01,
🇺🇸谈薪成功 已签offer,https://www.xiaohongshu.com/explore/6a5acab4000000001c0130d0,小红书,跳槽谈薪,2026-08-01,316
面试谈薪蕞全避坑指南，多拿20%‼️HR高管秘籍,https://www.xiaohongshu.com/explore/67fe3254000000001c012eb2,小红书,跳槽谈薪,2026-08-01,105
跳槽的第一性原理是什么？,https://www.xiaohongshu.com/explore/6a0d3cca000000003501f128,小红书,跳槽谈薪,2026-08-01,382
2026轉職必看的談薪指南！掌握三類人才優勢，打破薪資天花板,https://www.yourator.co/articles/1115,网页,跳槽谈薪,2026-08-01,
AI方向跳槽涨薪实录：2026年我经手的真实数据,https://zhuanlan.zhihu.com/p/2026005024430465636,网页,跳槽谈薪,2026-08-01,
🏆省金支教老师职业规划大赛高分PPT！,https://www.xiaohongshu.com/explore/6a6dbfb7000000003400f6dc?xsec_token=ABk31yDVGRaeJy7muaLFSpuP5p2Xa-jXngMIvspzTafoE=&xsec_source=pc_feed,小红书,职业规划,2026-08-01,2
末九人工智能研0求职业生涯规划定位,https://www.xiaohongshu.com/explore/6a6dabeb0000000028006e67?xsec_token=ABk31yDVGRaeJy7muaLFSpuDnD43szJsYzgEl4E0Pk4EU=&xsec_source=pc_feed,小红书,职业规划,2026-08-01,7
30岁研究生，在上海：今年失业的人，真的,https://www.xiaohongshu.com/explore/6a6d484f0000000006005e49?xsec_token=ABk31yDVGRaeJy7muaLFSpuLK_o1ZzFcXMYrArJH0Emmg=&xsec_source=pc_feed,小红书,职业规划,2026-08-01,9
青年律师执业困境之三：职业规划,https://www.xiaohongshu.com/explore/6a6ce2d10000000006006d15?xsec_token=ABp8CWnbmqsjLbLoJdRzqNNF3oO4AJdNYpyKdyEIDbfK4=&xsec_source=pc_feed,小红书,职业规划,2026-08-01,5
职业规划求助,https://www.xiaohongshu.com/explore/6a6c2f650000000005030841?xsec_token=ABp8CWnbmqsjLbLoJdRzqNNN-njYhFo81ChPqlUVQQ_Z4=&xsec_source=pc_feed,小红书,职业规划,2026-08-01,0
工科生毕业工作1年的职业规划困惑,https://www.xiaohongshu.com/explore/6a6c2dc50000000005029334?xsec_token=ABp8CWnbmqsjLbLoJdRzqNNKMt0bdEDMVpa7L6QVtIA9Y=&xsec_source=pc_feed,小红书,职业规划,2026-08-01,0
核心结构：面试自我介绍的万能公式,https://www.xiaohongshu.com/explore/6a6d5b330000000032021f4a?xsec_token=ABk31yDVGRaeJy7muaLFSpuIg7n8s6wpVWDAZGEgzLGEw=&xsec_source=pc_feed,小红书,自我介绍万能公式,2026-08-01,3
自我介绍，怎么讲，才能既突出又新颖？,https://www.xiaohongshu.com/explore/6a6c2841000000003301a57d?xsec_token=ABp8CWnbmqsjLbLoJdRzqNNKpS9DGixuA2e7uRn2WSQCM=&xsec_source=pc_feed,小红书,自我介绍万能公式,2026-08-01,3
第一部分：自我介绍万能公式（80%人翻车重灾区）,https://www.xiaohongshu.com/explore/6a6b86ff000000002c0002b8?xsec_token=ABd2kIn4bXJvoibTlK7X9tR3nzNSC1sjaSWubQcYuL8e8=&xsec_source=pc_feed,小红书,自我介绍万能公式,2026-08-01,2
来！咱们重新认识一下！,https://www.xiaohongshu.com/explore/6a6b40360000000024025488?xsec_token=ABd2kIn4bXJvoibTlK7X9tR1fm0Lccrt6jpOK-AUXNJpg=&xsec_source=pc_feed,小红书,自我介绍万能公式,2026-08-01,10
面试分享｜高管面/CEO面怎么聊,https://www.xiaohongshu.com/explore/67d98097000000001d019f58?xsec_token=AB31KlO1mKh9hn4Am4auUz_kXlJ3fKqUzEm8yriK0y5JA=&xsec_source=pc_feed,小红书,boss终面面试一般会问什么,2026-08-01,3101
终面见老板怎么聊？格局打开，别说只会干活,https://www.xiaohongshu.com/explore/692f9afe000000001f009e12?xsec_token=ABWGETAGXfAZK5OUm9aAg6a6Sg25_1AeatAJN3RuqnEso=&xsec_source=pc_feed,小红书,boss终面面试一般会问什么,2026-08-01,145
终面，大领导面试通关技巧,https://www.xiaohongshu.com/explore/69bbb016000000001a02b969?xsec_token=ABBXvTO4K_SJeOdSOn7tMHbDIIAiOdAimub7M20L703Ak=&xsec_source=pc_feed,小红书,boss终面面试一般会问什么,2026-08-01,121
终面，高管或Boss到底面你什么？,https://www.xiaohongshu.com/explore/6a220a350000000007023442?xsec_token=AB2-zK3TMjQ9weQqJFH3vJ8zW4UIg6kkx81mWhSw8tTGg=&xsec_source=pc_feed,小红书,boss终面面试一般会问什么,2026-08-01,182
11种涨薪方式排名，从夯到拉,https://www.xiaohongshu.com/explore/6a0abf00000000000800174c?xsec_token=ABado9IcuEJYcXyQKJlb7NY6ADCJIIQjhmIWTBJkMv0wI=&xsec_source=pc_feed,小红书,涨薪案例,2026-08-01,136
硅谷谈判专家：如何拿多20%的Offer,https://www.xiaohongshu.com/explore/69e41d0f000000001a02fef9?xsec_token=ABC4DSa-OjjOdSsq0bq2UOfmxcLpUmljCyieSEDhH94AE=&xsec_source=pc_feed,小红书,涨薪案例,2026-08-01,953
只有这三种情况，老板才会给你涨薪,https://www.xiaohongshu.com/explore/6980a238000000000a0284b5?xsec_token=ABkwVhSwSuEceyASCD9S0NgCEtBMc-QwbtjCD4zCKddMg=&xsec_source=pc_feed,小红书,涨薪案例,2026-08-01,160
提涨薪后续,https://www.xiaohongshu.com/explore/69914f42000000001b017619?xsec_token=ABea4cbnoDcvqu6m1LKE4R_vJac-TnbQPh0kmeyglk8Ic=&xsec_source=pc_feed,小红书,涨薪案例,2026-08-01,—
2026年 1270万毕业生的天崩开局，究竟该何去何从,https://zhuanlan.zhihu.com/p/2032923117115404720,网页,职业规划,2026-08-01,—
30+女性如何开启第二事业？2026年，适合没特长、没背景的普通人的3个稳健路子,https://zhuanlan.zhihu.com/p/1997730797545867134,网页,职业规划,2026-08-01,—
自我介绍有万能公式？,https://zhuanlan.zhihu.com/p/265888439,网页,自我介绍万能公式,2026-08-01,—
HR、部门leader和boss面试，聊的竟然完全不一样！,https://zhuanlan.zhihu.com/p/61084618,网页,boss终面面试一般会问什么,2026-08-01,—
BOSS直聘：如何解答面试必答题之“你还有什么问题”？,https://zhuanlan.zhihu.com/p/347916917,网页,boss终面面试一般会问什么,2026-08-01,—
真实经历，互联网大厂升职加薪那些事,https://36kr.com/p/1722770194433,网页,涨薪案例,2026-08-01,—
2026“高薪”神话破灭？其实涨薪在向少数岗位集中！,https://zhuanlan.zhihu.com/p/2055334184558899541,网页,涨薪案例,2026-08-01,—
人情世故潜台词，必须要听懂的社交弦外音,https://www.xiaohongshu.com/explore/6a0f008600000000380206b8,小红书,职场表达,2026-08-01,350
